id,name,handle,youtube_channel_id,youtube,instagram,tiktok,facebook,website,language,focus,avatar_url,verified,notes
taiwan-bar,Taiwan Bar 臺灣吧,@taiwanbar,UCRNsHFT7BFoAPBcuAa5sgEQ,https://www.youtube.com/@taiwanbar,,,,,zh,動畫臺灣史與中國史，臺灣觀點的歷史科普,,yes,Chinese-language (Taiwan) animated history; the feed also carries quizzes and課程 previews
life-in-the-past-lane,Dr. Jess Venner,@lifeinthepastlane,UCIXOdkgY6pplwJL9JCc0xEQ,https://www.youtube.com/@lifeinthepastlane,,,,,en,"Roman daily life and Pompeii, from an ancient historian and archaeologist",,yes,"Channel is titled Dr. Jess Venner; the handle is @lifeinthepastlane. Oxford post-doc, author of The Lost Voices of Pompeii."
american-experience,American Experience | PBS,@AmericanExperiencePBS,UC5zrlRzhT_cFI9zT6uQSijg,https://www.youtube.com/@AmericanExperiencePBS,,,,,en,"PBS documentary strand on United States history, published as full films",,yes,"Public broadcaster (PBS, United States)"
rai-cultura,Rai Cultura,@RaiCultura,UCDLYMJX6al0okaalt5yAEFA,https://www.youtube.com/@RaiCultura,,,,,it,Archivio Rai: storia e cronaca del Novecento italiano,,yes,"Italian public broadcaster. Its YouTube presence is a small set of short archive clips; the full catalogue lives on RaiPlay, and Rai Storia has no videos on YouTube at all."
dw-documentary,DW Documentary,@dwdocumentary,UCW39zufHfsuGgpLviKh297Q,https://www.youtube.com/@dwdocumentary,,,,,en,Documentaries from Germany’s international public broadcaster,,yes,Public broadcaster (Deutsche Welle). Output is mostly current affairs; only the history documentaries are indexed.
sleepless-historian,Sleepless Historian,@SleeplessHistorian,UCy3Hgwj12x3fDQUcutNm2DA,https://www.youtube.com/@SleeplessHistorian,,,,,en,"Long-form medieval and ancient social history, made for listening",,yes,
history-buffs,History Buffs,@HistoryBuffs,UCggHoXaj8BQHIiPmOxezeWA,https://www.youtube.com/@HistoryBuffs,,,,,en,"Historical accuracy of film and television, examined scene by scene",,yes,"Rows are indexed to the period each film depicts, not the year the film was made"
kbs-history,KBS 히스토리,@KBSHistory,UCjPqSbyqm5IZEoXu7I-KPag,https://www.youtube.com/@KBSHistory,,,,,ko,KBS의 역사 콘텐츠 공식 채널. 역사스페셜 등 한국사 다큐멘터리,,yes,Korean public broadcaster (KBS). Collects KBS history programming including 역사스페셜; many items are archive broadcasts with the original air date in the title.
canal-encuentro,Canal Encuentro,@encuentro,UC1zLDoKL-eKmd_K7qkUZ-ow,https://www.youtube.com/@encuentro,,,,,es,"Canal público educativo argentino: historia, biografías y cultura",,yes,"Argentine public educational broadcaster, run by the Ministry of Education. Some recent biographies are explicitly AI-produced and are flagged in the notes of those rows."
aljazeera-doc,Al Jazeera Documentary,@aljazeeradocumentary,UC0LSnqrwqtMwl2YwfUpO66g,https://www.youtube.com/@aljazeeradocumentary,,,,,ar,الجزيرة الوثائقية: تاريخ وحضارات ومدن,,yes,"Qatari public broadcaster. Output is mixed nature, current affairs and history; only the history films are indexed."
trt-belgesel,TRT Belgesel,@trtbelgesel,UCdVBWUBCuREx1Q2Ikw9R8Mw,https://www.youtube.com/@trtbelgesel,,,,,tr,"TRT belgesel kanalı: tarihî mimari, camiler ve Anadolu",,yes,Turkish public broadcaster (TRT). Mostly nature and travel; the historic-architecture strand Mabedin Gölgesinde is what is indexed here.
africa-history-channel,Africa History Channel,@AfricaHistoryChannel,UCaPrp1WeRVcKVoj8Y_jb7Lg,https://www.youtube.com/channel/UCaPrp1WeRVcKVoj8Y_jb7Lg,,,,,en,"Animated African history: West African empires, the Shona states and southern Africa",,yes,No uploads since late 2024; the back catalogue is what is indexed.
historia-brasil-tv,História do Brasil TV,@historiadobrasiltv,UCL5Hqs-zEttfUx0kScDzYHQ,https://www.youtube.com/channel/UCL5Hqs-zEttfUx0kScDzYHQ,,,,,pt,"História do Brasil em debate: escravidão, império, ditadura e historiografia",,yes,Academic Brazilian history channel. Dormant since 2023.
indian-history-archaeology,Indian History & Archaeology,@IndianHistoryArchaeology,UCyMhJcuZ5WNyXKpZFx511Kw,https://www.youtube.com/channel/UCyMhJcuZ5WNyXKpZFx511Kw,,,,,en,"Indian archaeology: Harappan sites, excavations and interviews with field archaeologists",,yes,The channel mixes field archaeology with Hindu calendar and festival content; only the archaeology is indexed.
historia-id,Historia.ID,@HistoriaId-Majalah,UCdIto7ZTtq-86D91G5B2U-g,https://www.youtube.com/channel/UCdIto7ZTtq-86D91G5B2U-g,,https://www.tiktok.com/@historiadotid,,https://historia.id,id,Majalah sejarah Indonesia: dari Nusantara kuno sampai sejarah kontemporer,,yes,"Indonesia’s first online history magazine, edited by Bonnie Triyana. Also publishes short-form on TikTok as @historiadotid, which has no public feed, so only the YouTube items are indexed."
sejarah-seru,Sejarah Seru,@sejarahseru,UCr3MTZ3qgm0BScXJw98w70A,https://www.youtube.com/channel/UCr3MTZ3qgm0BScXJw98w70A,,https://www.tiktok.com/@sejarahseru.id,,,id,"Sejarah Indonesia modern: G30S, Orde Baru, dan peristiwa yang jarang dibahas",,yes,"Also posts short-form on TikTok as @sejarahseru.id, which cannot be enumerated publicly."
ar-kaiji,Ar Kaiji Historian,@ArKaijiHistorian,UCg_IAQY7Yy6DuHDYhg33Tkw,https://www.youtube.com/channel/UCg_IAQY7Yy6DuHDYhg33Tkw,,,,,id,"Penjelajahan museum dan situs sejarah Indonesia, format pendek",,yes,Small and recent channel by Lifardo Neloe; mostly site and museum visits rather than narrative history.
